SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
04/01/2022 08:44:13AM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
D6710,69,624954,3/24/2022,,G94921-0606,GATG94921-0606,$50.10 ,2,$69.55 ,$139.10 ,$38.90 ,GAT,A
D4305-1,16,622618,3/3/2022,01:24:19PM,10009920,CMT10009920,$102.31 ,2,$140.00 ,$280.00 ,$75.38 ,CMT,AP
D6388,97,625342,3/28/2022,04:16:03PM,DDE/R2353599,SPODDE/R23535990,"$1,373.44 ",1,"$1,510.78 ","1,510.78",$137.34 ,SPO,APQT
8303-1,130,625533,3/29/2022,03:56:18PM,D95080047R,WILD95080047R,"$1,072.04 ",-1,"$1,244.76 ","-1,244.76",($172.72),WIL,A
3739,74,1137773,3/1/2022,08:44:04AM,CP20RPLS1,MERCP20RPLS1,$68.05 ,1,$117.95 ,$117.95 ,$49.90 ,MER,A
6402-1,74,1140664,3/18/2022,09:19:26AM,16110,VEL016110,$1.51 ,6,$2.80 ,$16.80 ,$7.74 ,VEL,AFP
6402-1,74,1140664,3/18/2022,09:19:26AM,20062,VEL020062,$0.17 ,10,$0.33 ,$3.30 ,$1.60 ,VEL,A
6402-1,74,1140664,3/18/2022,09:19:26AM,BT31S1000,ELCBT31S1000,$70.96 ,4,$100.53 ,$402.12 ,$118.28 ,ELC,A
6402-1,74,1140664,3/18/2022,09:19:26AM,16610,VEL016610,$2.22 ,6,$3.92 ,$23.52 ,$10.20 ,VEL,AP
6402-1,74,1140664,3/18/2022,09:19:26AM,M-465,GRKM-465,$55.94 ,1,$103.98 ,$103.98 ,$48.04 ,GRK,AP
6402-1,74,1140664,3/18/2022,09:19:26AM,16266,VEL016266,$4.24 ,1,$7.55 ,$7.55 ,$3.31 ,VEL,A
3203,74,1139905,3/14/2022,,580043PTV,SPO580043PTV,$595.00 ,1,$892.50 ,$892.50 ,$297.50 ,SPO,APQT
3203,74,1139905,3/14/2022,,15-63391,SPO15-63391,$273.73 ,1,$360.55 ,$360.55 ,$86.82 ,SPO,APQT
D1927,16,623674,3/12/2022,10:15:47AM,30700-3,TLC30700-3,$1.06 ,3,$2.46 ,$7.38 ,$4.20 ,TLC,A
D1927,16,623674,3/12/2022,10:15:47AM,G94021-1212,GATG94021-1212,$43.63 ,1,$72.66 ,$72.66 ,$29.03 ,GAT,A
D1927,16,623674,3/12/2022,10:15:47AM,30200R3,TLC30200R3,$1.48 ,3,$3.49 ,$10.47 ,$6.03 ,TLC,A
D1927,16,623674,3/12/2022,10:15:47AM,94902-3,TLC94902-3,$1.04 ,3,$2.39 ,$7.17 ,$4.05 ,TLC,A
D1927,16,623674,3/12/2022,10:15:47AM,G94011-1212,GATG94011-1212,$17.30 ,1,$33.40 ,$33.40 ,$16.10 ,GAT,A
4795-1,47,1142036,3/28/2022,08:14:46AM,10020361,SPO10020361,$16.38 ,-5,$23.75 ,($118.75),($36.85),SPO,A
D1035,16,624698,3/22/2022,01:13:39PM,60402-0005,AGA60402-0005,$0.48 ,-4,$2.18 ,($8.72),($6.80),AGA,A
D1035,16,624698,3/22/2022,01:13:39PM,60401-0005,AGA60401-0005,$0.45 ,-4,$2.38 ,($9.52),($7.72),AGA,A
4795-1,47,1142036,3/28/2022,08:14:46AM,10009668,SPO10009668,$14.89 ,-5,$21.55 ,($107.75),($33.30),SPO,A
290,13,1140698,3/18/2022,04:42:02PM,83-6021,GRC83-6021,$3.51 ,5,$5.88 ,$29.40 ,$11.85 ,GRC,AP
