SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
03/01/2022 12:01:25PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
3245-1,97,619377,2/7/2022,10:20:55AM,20065,VEL020065,$0.31 ,10,$0.56 ,$5.60 ,$2.50 ,VEL,AP
3245-1,97,619377,2/7/2022,10:20:55AM,12014,VEL012014,$1.75 ,4,$3.54 ,$14.16 ,$7.16 ,VEL,AP
D6704,69,619598,2/8/2022,10:05:45AM,MRK4709E2H23,MERMRK4709E2H23V,$31.04 ,4,$39.95 ,$159.80 ,$35.64 ,MER,AP
D6704,69,619598,2/8/2022,10:05:45AM,54400,SEL54400,$1.75 ,2,$3.95 ,$7.90 ,$4.40 ,SEL,AP
D6704,69,619598,2/8/2022,10:05:45AM,GPNB48100,AMXGPNB48100,$12.48 ,2,$22.95 ,$45.90 ,$20.94 ,AMX,AP
D6704,69,619598,2/8/2022,10:05:45AM,9004LL,HEL9004LL,$2.09 ,1,$2.99 ,$2.99 ,$0.90 ,HEL,AP
2796,69,619320,2/7/2022,02:03:19PM,DEF-2.5G,LCSDEF-2.5G,$7.37 ,10,$9.25 ,$92.50 ,$18.80 ,LCS,AP
2796,69,619320,2/7/2022,02:03:19PM,K5-36SBC,GRKK5-36SBC,$74.92 ,2,$95.00 ,$190.00 ,$40.16 ,GRK,AP
2796,69,619320,2/7/2022,02:03:19PM,10158,LUC10158,$2.39 ,12,$2.99 ,$35.88 ,$7.20 ,LUC,AP
2796,69,619320,2/7/2022,02:03:19PM,RM3815,LCSRM3815,$1.83 ,12,$2.49 ,$29.88 ,$7.92 ,LCS,A
2796,69,619320,2/7/2022,02:03:19PM,10288,LUC10288,$51.50 ,2,$62.95 ,$125.90 ,$22.90 ,LUC,AP
1309-1,97,618999,2/3/2022,09:52:30AM,48-73-2005,MLW48-73-2005,$6.00 ,1,$9.00 ,$9.00 ,$3.00 ,MLW,AP
1309-1,97,618999,2/3/2022,09:52:30AM,48-22-8732,MLW48-22-8732,$17.52 ,1,$21.90 ,$21.90 ,$4.38 ,MLW,AP
1309-1,97,618999,2/3/2022,09:52:30AM,48-73-2000,MLW48-73-2000,$6.00 ,1,$9.00 ,$9.00 ,$3.00 ,MLW,AP
167,6,1134189,2/8/2022,10:19:19AM,13500,GTA13500,$41.95 ,1,$71.22 ,$71.22 ,$29.27 ,GTA,AP
D3905,95,620291,2/15/2022,08:11:52AM,DEF-55G,LCSDEF-55G,$156.08 ,2,$192.00 ,$384.00 ,$71.84 ,LCS,AP
D6388,97,621357,2/23/2022,10:25:02AM,82-9435,GRC82-9435,$2.16 ,1,$2.88 ,$2.88 ,$0.72 ,GRC,AFP
486,46,1137414,2/28/2022,04:02:48PM,UP40,LCSUP40,$4.61 ,60,$6.25 ,$375.00 ,$98.40 ,LCS,AP
7239,!WEB,1134981,2/14/2022,06:49:05AM,33674MP,WIX33674MP,$11.69 ,10,$13.01 ,$130.10 ,$13.20 ,WIX,A
2313,15,1136308,2/21/2022,02:14:43PM,33116,WIX33116,$17.47 ,1,$26.32 ,$26.32 ,$8.85 ,WIX,AP
7239,!WEB,1134981,2/14/2022,06:49:05AM,42330,WIX42330,$32.73 ,2,$35.86 ,$71.72 ,$6.26 ,WIX,A
2313,15,1136308,2/21/2022,02:14:43PM,FG-LF14000NN,MISFG-LF14000NN,$28.28 ,1,$42.42 ,$42.42 ,$14.14 ,MIS,A
7239,!WEB,1134981,2/14/2022,06:49:05AM,42331,WIX42331,$16.02 ,2,$21.81 ,$43.62 ,$11.58 ,WIX,A
1517,15,1136100,2/19/2022,09:15:35AM,S49-524,GRKS49-524,$27.98 ,1,$39.34 ,$39.34 ,$11.36 ,GRK,AP
1517,15,1136100,2/19/2022,09:15:35AM,41810,SHL41810,$7.20 ,1,$11.94 ,$11.94 ,$4.74 ,SHL,A
1517,15,1136100,2/19/2022,09:15:35AM,RB-5ZN,GRKRB-5ZN,$3.97 ,1,$7.40 ,$7.40 ,$3.43 ,GRK,A
3372,85,1136110,2/19/2022,09:38:31AM,51971MP,WIX51971MP,$14.10 ,2,$19.77 ,$39.54 ,$11.34 ,WIX,AP
1517,15,1136100,2/19/2022,09:15:35AM,562.U3105SS-,ATM562.U3105SS-T,$8.87 ,2,$13.10 ,$26.20 ,$8.46 ,ATM,AP
3372,85,1136110,2/19/2022,09:38:31AM,10076,LUC10076,$12.76 ,10,$18.52 ,$185.20 ,$57.60 ,LUC,AP
1517,15,1136100,2/19/2022,09:15:35AM,53063,GRC53063,$13.32 ,2,$19.56 ,$39.12 ,$12.48 ,GRC,AP
1517,15,1136100,2/19/2022,09:15:35AM,CHOCK,MISCHOCK,$12.59 ,1,$21.13 ,$21.13 ,$8.54 ,MIS,AP
1917,15,1133754,2/4/2022,10:10:47AM,57746XD,WIX57746XD,$36.45 ,1,$50.80 ,$50.80 ,$14.35 ,WIX,AP
D3500,95,620965,2/19/2022,10:03:13AM,G25200-0606,GATG25200-0606,$5.04 ,2,$9.94 ,$19.88 ,$9.80 ,GAT,A
1917,15,1133754,2/4/2022,10:10:47AM,FG-FF5776,MISFG-FF5776,$55.43 ,1,$64.03 ,$64.03 ,$8.60 ,MIS,AP
515,54,1136753,2/23/2022,10:24:11AM,282-0108,DEN282-0108,$210.00 ,1,$345.00 ,$345.00 ,$135.00 ,DEN,A
D3500,95,620965,2/19/2022,10:03:13AM,HBR2-6,TEXHBR2-6,$1.51 ,4,$2.84 ,$11.36 ,$5.32 ,TEX,AP
478,4,1136889,2/24/2022,,A85006,ATMA85006,$34.12 ,2,$61.85 ,$123.70 ,$55.46 ,ATM,APQT
1667,123,619655,2/9/2022,09:17:51AM,MEF-3P,LCSMEF-3P,$28.49 ,1,$36.59 ,$36.59 ,$8.10 ,LCS,AP
