SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
05/01/2022 02:54:13PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
D3410,87,629044,4/27/2022,01:17:30PM,10564,LUC10564,$5.35 ,16,$8.44 ,$135.04 ,$49.44 ,LUC,AP
D3410,87,629044,4/27/2022,01:17:30PM,33358MP,WIX33358MP,$7.14 ,2,$9.51 ,$19.02 ,$4.74 ,WIX,A
D8275-1,123,626235,4/5/2022,08:57:22AM,83-6025,GRC83-6025,$4.95 ,1,$8.42 ,$8.42 ,$3.47 ,GRC,A
532-1,4,1143728,4/6/2022,08:54:53PM,M2536,BWPM2536,$0.14 ,10,$0.98 ,$9.80 ,$8.40 ,BWP,A
5866,85,1143599,4/5/2022,,57309,WIX57309,$91.95 ,2,$91.90 ,$183.80 ,($0.10),WIX,A
D4637,95,628538,4/22/2022,02:15:48PM,60447-0606,AGA60447-0606,$1.76 ,2,$5.92 ,$11.84 ,$8.32 ,AGA,A
D4637,95,628538,4/22/2022,02:15:48PM,G25170-0606X,GATG25170-0606X,$4.51 ,4,$7.79 ,$31.16 ,$13.12 ,GAT,A
D4637,95,628538,4/22/2022,02:15:48PM,60399-0006,AGA60399-0006,$0.19 ,4,$1.16 ,$4.64 ,$3.88 ,AGA,A
D4637,95,628538,4/22/2022,02:15:48PM,60471-060606,AGA60471-060606,$4.53 ,1,$10.60 ,$10.60 ,$6.07 ,AGA,A
D4637,95,628538,4/22/2022,02:15:48PM,HBR2-6,TEXHBR2-6,$1.53 ,6,$3.02 ,$18.12 ,$8.94 ,TEX,A
D5010,95,628260,4/20/2022,01:46:56PM,201,TRC201,$3.70 ,2,$7.99 ,$15.98 ,$8.58 ,TRC,A
D5010,95,628260,4/20/2022,01:46:56PM,572.4006,ATM572.4006,$3.23 ,1,$6.21 ,$6.21 ,$2.98 ,ATM,A
1955,88,1147588,4/29/2022,01:51:43PM,10014756,CMT10014756,$123.28 ,2,$167.95 ,$335.90 ,$89.34 ,CMT,AP
D4645,97,628985,4/27/2022,04:28:07PM,45130,SHL45130,$14.30 ,6,$23.98 ,$143.88 ,$58.08 ,SHL,AP
D4645,97,628985,4/27/2022,04:28:07PM,45126,SHL45126,$15.30 ,30,$19.92 ,$597.60 ,$138.60 ,SHL,A
5866,85,1145537,4/19/2022,05:18:06PM,MYSJT6-CART,LCSMYSJT6-CART,$2.70 ,30,$3.43 ,$102.90 ,$21.90 ,LCS,AP
4805,88,1147437,4/29/2022,04:57:22PM,49478,WIX49478,$95.67 ,1,$101.43 ,$101.43 ,$5.76 ,WIX,A
D1923,95,626226,4/4/2022,03:58:50PM,031-00320,FTE031-00320,$8.77 ,1,$14.40 ,$14.40 ,$5.63 ,FTE,A
D2467,87,626423,4/6/2022,02:37:26PM,51794MP,WIX51794MP,$8.54 ,2,$8.50 ,$17.00 ,($0.08),WIX,A
4805,88,1147437,4/29/2022,04:57:22PM,24318,WIX24318,$14.44 ,1,$14.90 ,$14.90 ,$0.46 ,WIX,A
D1923,95,626226,4/4/2022,03:58:50PM,MFBK,GTAMFBK,$1.07 ,1,$2.98 ,$2.98 ,$1.91 ,GTA,A
D9836,123,626529,4/6/2022,04:06:27PM,54106,TAC54106,$243.38 ,1,$317.02 ,$317.02 ,$73.64 ,TAC,AP
D9836,123,626529,4/6/2022,04:06:27PM,1694,TAC1694,$29.69 ,1,$38.84 ,$38.84 ,$9.15 ,TAC,AP
D9836,123,626529,4/6/2022,04:06:27PM,7413,TAC7413,$41.22 ,1,$53.77 ,$53.77 ,$12.55 ,TAC,AP
D6704,16,628707,4/25/2022,12:24:59PM,4HL44,SPO4HL44,$411.65 ,1,$499.99 ,$499.99 ,$88.34 ,SPO,APQT
9000,85,1144435,4/11/2022,08:09:49AM,FG-FS19520,MISFG-FS19520,$0.00 ,1,$28.95 ,$28.95 ,$28.95 ,MIS,AP
D0148,95,627675,4/15/2022,11:46:22AM,90-01-4511N,WIL90-01-4511N,$247.06 ,1,$329.33 ,$329.33 ,$82.27 ,WIL,AP
D4637,95,628269,4/20/2022,03:53:24PM,60140-0808,AGA60140-0808,$2.04 ,2,$5.04 ,$10.08 ,$6.00 ,AGA,A
D4637,95,628269,4/20/2022,03:53:24PM,60499-0808,AGA60499-0808,$2.25 ,4,$5.44 ,$21.76 ,$12.76 ,AGA,A
D4637,95,628269,4/20/2022,03:53:24PM,60352-121212,AGA60352-121212,$4.94 ,1,$18.75 ,$18.75 ,$13.81 ,AGA,A
4218,74,1146674,4/25/2022,02:28:57PM,RC2124,LCSRC2124,$3.75 ,1,$7.83 ,$7.83 ,$4.08 ,LCS,A
2664,87,627484,4/14/2022,09:08:00AM,70354,GAT70354,$3.78 ,100,$5.27 ,$527.00 ,$149.00 ,GAT,AF
D3455-1,!WEB,628996,4/27/2022,09:08:29AM,33960,WIX33960,$31.43 ,2,$35.88 ,$71.76 ,$8.90 ,WIX,A
D3455-1,!WEB,628996,4/27/2022,09:08:29AM,58073,VEL058073,$0.45 ,2,$1.76 ,$3.52 ,$2.62 ,VEL,A
D3455-1,!WEB,628996,4/27/2022,09:08:29AM,33630,WIX33630,$25.44 ,1,$29.12 ,$29.12 ,$3.68 ,WIX,A
D3455-1,!WEB,628996,4/27/2022,09:08:29AM,R955284358N,MERR955284358N,$18.02 ,2,$35.42 ,$70.84 ,$34.80 ,MER,A
D3455-1,!WEB,628996,4/27/2022,09:08:29AM,16114,VEL016114,$2.18 ,2,$4.99 ,$9.98 ,$5.62 ,VEL,A
D3455-1,!WEB,628996,4/27/2022,09:08:29AM,33358,WIX33358,$7.20 ,1,$8.57 ,$8.57 ,$1.37 ,WIX,A
D3455-1,!WEB,628996,4/27/2022,09:08:29AM,33417,WIX33417,$22.93 ,1,$26.65 ,$26.65 ,$3.72 ,WIX,A
D3455-1,!WEB,628996,4/27/2022,09:08:29AM,33548,WIX33548,$15.97 ,1,$18.92 ,$18.92 ,$2.95 ,WIX,A
D3455-1,!WEB,628996,4/27/2022,09:08:29AM,FB-12F,PCIFB-12F,$22.16 ,1,$41.55 ,$41.55 ,$19.39 ,PCI,A
1630,88,1147539,4/29/2022,01:54:14PM,PBB16-PB-DS,CVLPBB16-PB-DS,$5.35 ,2,$9.95 ,$19.90 ,$9.20 ,CVL,A
1630,88,1147539,4/29/2022,01:54:14PM,41810,SHL41810,$7.54 ,12,$12.56 ,$150.72 ,$60.24 ,SHL,A
1630,88,1147539,4/29/2022,01:54:14PM,PBB16-GDL,CVLPBB16-GDL,$3.39 ,1,$5.66 ,$5.66 ,$2.27 ,CVL,AP
1630,88,1147539,4/29/2022,01:54:14PM,32082,VEL032082,$6.39 ,4,$10.56 ,$42.24 ,$16.68 ,VEL,A
6639,64,1145082,4/14/2022,05:18:12PM,10824,LUC10824,$2.35 ,2,$3.42 ,$6.84 ,$2.14 ,LUC,AP
1511,15,1144164,4/8/2022,12:43:09PM,5347703,SPO5347703,$45.72 ,1,$60.00 ,$60.00 ,$14.28 ,SPO,APQT
D9658,95,627316,4/13/2022,10:58:44AM,20062,VEL020062,$0.17 ,1,$0.65 ,$0.65 ,$0.48 ,VEL,A
D9658,95,627316,4/13/2022,10:58:44AM,16110,VEL016110,$1.60 ,2,$4.51 ,$9.02 ,$5.82 ,VEL,A
D0912,97,628495,4/22/2022,10:27:13AM,180.10619,ATM180.10619,$6.15 ,3,$8.40 ,$25.20 ,$6.75 ,ATM,AP
D1925,127,628011,4/19/2022,11:00:08AM,6245A,TAC6245A,$123.01 ,-1,$160.03 ,($160.03),($37.02),TAC,A
7590,64,1147334,4/28/2022,12:02:51PM,48-22-9214,MLW48-22-9214,$50.26 ,1,$74.99 ,$74.99 ,$24.73 ,MLW,AP
D9045,97,627569,4/14/2022,04:18:40PM,85944,GAT85944,$2.50 ,3,$4.86 ,$14.58 ,$7.08 ,GAT,A
D9045,97,627569,4/14/2022,04:18:40PM,32044,GAT32044,$1.01 ,1,$2.71 ,$2.71 ,$1.70 ,GAT,A
7010,45,1145022,4/14/2022,08:11:02AM,60291-0402,AGA60291-0402,$3.82 ,5,$8.30 ,$41.50 ,$22.40 ,AGA,APQT
